gene,cluster_1,cluster_2,cluster_3
mrpl15,0.593914356,0.435203039,0.281493949
lypla1,0.345766595,0.157963045,0.172487672
tcea1,0.382104417,0.256605719,0.299820532
atp6v1h,0.175760845,0.158200208,0.124337737
rb1cc1,0.133874358,0.159266136,0.146272751
x4732440d04rik,0.038234144,0.039631286,0.035695889
pcmtd1,0.191018666,0.245367864,0.159079692
rrs1,0.251666487,0.182753531,0.070367994
adhfe1,0,0.000684011,0.001531752
mybl1,0,0.001845519,0.00037207
vcpip1,0.093295975,0.100262288,0.071594352
x1700034p13rik,0,0,0.001660542
sgk3,0.031374065,0.03894078,0.121731812
mcmdc2,0,0.001572594,0.002296446
snhg6,0.487186935,0.266429804,0.302616435
cops5,0.425669579,0.347977243,0.293334801
cspp1,0.09046073,0.110313824,0.081977352
arfgef1,0.141969593,0.17062055,0.200203065
slco5a1,0,0.000292284,0.207468632
ncoa2,0.117767543,0.09444992,0.214344838
tram1,0.736554469,0.505161174,0.171484579
lactb2,0.132263352,0.079641471,0.056468485
eya1,0,0.05943439,0.001523787
terf1,0.122692985,0.139408034,0.056365749
rpl7,3.43674551,3.365358253,2.950840784
rdh10,0.016423076,0.012176075,0.001921075
stau2,0.002829424,0.002989553,0.005480314
ube2w,0.150190301,0.151858645,0.223779637
tceb1,1.078814686,0.753950255,1.183186449
tmem70,0.259650763,0.165488294,0.239033732
ly96,0.036563042,0.042282038,0.255520057
mcm3,0.299943725,0.135867621,0.088512259
paqr8,0.003270339,0.003182997,0.014687433
tram2,0.021499354,0.010659873,0.008087045
tmem14a,0.030732494,0.039274702,0.008671592
gm28836,0.003262402,0.02474997,0.006025433
khdc1a,0.01076321,0.386546993,0.010472552
khdc1c,0.005615959,0.174216753,0
khdc1b,0,0.036407685,0
kcnq5,0.01222307,0.024582948,0
ogfrl1,0.037611854,0.044625809,1.296934291
b3gat2,0,0,0
smap1,0.496917027,0.377241377,0.298877346
sdhaf4,0.258317257,0.233209514,0.129375458
fam135a,0.000878839,0.002055285,0
lmbrd1,0.145145692,0.149156611,0.08926367
phf3,0.311638633,0.337963087,0.257492977
ptp4a1,0.245652755,0.177995735,0.210722335
prim2,0.055802073,0.053857436,0.020104076
rab23,0.024255198,0.009083433,0.01598884
bag2,0.026205235,0.009254451,0.013396396
zfp451,0.068646718,0.065947161,0.091393684
bend6,0.00851121,0.012333311,0
dst,0.005355719,0.00327756,0.011081433
gm37233,0,0.000478167,0.006515471
ccdc115,0.254826877,0.28491109,0.139406055
imp4,0.372830019,0.313678525,0.195451735
ptpn18,2.031018428,2.100040513,0.558532836
x4930568a12rik,0.003589127,0.005631678,0
arhgef4,0.026200676,0.019456507,0.007603223
gm38336,0,0.002277293,0
fam168b,0.182309435,0.206185295,0.303651194
plekhb2,0.307107438,0.104666067,0.473555001
hs6st1,0.010816804,0.005734505,0.016668122
uggt1,0.167194921,0.120553787,0.080852434
neurl3,0.212362672,0.454740182,0.04511887
arid5a,0.218820644,0.232130646,0.130930455
x4930403p22rik,0.001024658,0.003943979,0
kansl3,0.113536065,0.132895042,0.280462077
lman2l,0.071884922,0.071064495,0.060802471
cnnm4,0.009830172,0.011899813,0.014166703
cnnm3,0.043731021,0.03517624,0.025759474
ankrd39,0.167777738,0.122410901,0.068631705
sema4c,0.033736049,0.026466465,0.068858012
fam178b,0.014082431,0,0.026282775
cox5b,1.872585037,1.585256106,1.719302084
actr1b,0.169614289,0.113704387,0.063381154
zap70,0.959882677,0.438808099,0.043666763
tmem131,0.073573175,0.063070376,0.453024778
vwa3b,0,0.00293891,0.007533363
inpp4a,0.035247428,0.015998373,0.059509679
coa5,0.41318351,0.259110039,0.480852138
unc50,0.331792577,0.348698847,0.311830234
mgat4a,0.028436156,0.066644629,0.115301234
x2010300c02rik,0.044393225,0.075018282,0.000963224
tsga10,0.022562164,0.02877114,0.028670381
lipt1,0.020286156,0.009760441,0.004716746
mitd1,0.351650154,0.246063468,0.06455628
mrpl30,0.807504246,0.873767127,0.620596895
txndc9,0.607725663,0.425792054,0.59475735
eif5b,0.757229661,0.63186872,0.4822279
rev1,0.02955791,0.020454722,0.03664396
aff3,0.01051886,0.031696778,0.009369419
gm16152,0.009400253,0.041923905,0.002789876
chst10,0.037267473,0.006663794,0.018879593
pdcl3,0.497682306,0.45459458,0.550049929
rpl31,3.192016512,2.934373795,2.713482242
tbc1d8,0.010548362,0.009773048,0.618220831
cnot11,0.211748037,0.141440755,0.093033289
rnf149,0.158515682,0.141384865,0.160036142
creg2,0,0,0
map4k4,0.114670907,0.133818535,1.186300995
il1r2,0.180071282,0.011021752,0.130711262
gm16894,0.002412801,0.000443886,0
il1r1,0,0.000264413,0.005517496
il1rl2,0.005493847,0.004689093,0.007039108
il1rl1,0.01577574,0.003471462,0
il18r1,0.680402792,0.642016113,0.074001147
il18rap,0.356655318,0.399115198,0.032332164
slc9a4,0,0.000381313,0.001295044
mfsd9,0.00262914,0.00335043,0
mrps9,0.324063575,0.241047446,0.168490541
tgfbrap1,0.03063936,0.03574424,0.033613557
ai597479,0.024395776,0.015056119,0.011823889
fhl2,0.251759431,0.184251464,0.013028494
nck2,0.019327411,0.009106905,0.038294639
uxs1,0.11722223,0.076626289,0.190505426
tpp2,0.259141059,0.214860734,0.146917957
tex30,0.118661942,0.109064415,0.070467231
kdelc1,0.023480798,0.010567958,0.016935792
bivm,0.015185181,0.008265866,0.011145103
ercc5,0.054045109,0.039771632,0.018185804
col3a1,0,0,0.001358214
wdr75,0.092083448,0.067142574,0.029857597
slc40a1,0,0,0
slc39a10,0.048188065,0.022890351,0.030751388
x4933411e06rik,0,0.002945673,0.003165362
nabp1,0.57247595,0.553892676,0.539481598
gm17767,0.007738881,0.00164022,0.031366896
myo1b,0,0.005712811,0.005349428
stat4,0.372972224,0.550528053,1.258592151
stat1,0.934233756,0.712730085,1.300198694
gls,0.162323279,0.140299914,0.251958401
nab1,0.351176268,0.1876649,0.159078299
tmem194b,0.049113572,0.03149437,0.011540558
mfsd6,0.080574262,0.131459429,0.104389138
inpp1,0.406945653,0.23981325,0.034657329
hibch,0.115655392,0.074984035,0.008353299
x1700019d03rik,0.041621614,0.010037025,0
pms1,0.03708505,0.01605285,0.018194822
ormdl1,0.298366776,0.206372058,0.113653293
osgepl1,0.042877351,0.026459184,0.015640715
asnsd1,0.456296001,0.23813517,0.225896083
stk17b,0.973883003,0.687335326,0.278409253
gtf3c3,0.044178053,0.02545192,0.030774606
pgap1,0.014019805,0.000585218,0.005794704
ankrd44,0.464086987,0.502747186,0.661447503
sf3b1,1.100250938,0.967729542,0.966845428
coq10b,0.150765082,0.15777038,0.233610946
hspd1,0.70280905,0.525396701,0.435306097
hspe1,1.516191467,1.211171903,1.258145775
mob4,0.36758986,0.338355135,0.247393092
rftn2,0.003844856,0.002221698,0.001580406
mars2,0.031166558,0.031893373,0.002002629
plcl1,0.022399229,0.001579609,0.077570287
satb2,0,0,0
x4930558j18rik,0.001687609,0.000370312,0
x1700066m21rik,0.014163741,0.008723083,0.003147595
tyw5,0.082477062,0.04978658,0.045205536
x9430016h08rik,0.168335627,0.115054502,0.167800038
kctd18,0.07304973,0.058429162,0.071198207
sgol2a,0.013594316,0.006845134,0.005403484
bzw1,0.71551061,0.548631184,0.597206137
clk1,0.484288494,0.486614645,0.541841856
ppil3,0.343380885,0.24362712,0.056281025
nif3l1,0.096309414,0.060956902,0.024951045
orc2,0.082784307,0.05627152,0.021605901
fam126b,0.024611405,0.031584046,0.023369078
ndufb3,0.892971726,0.764265516,0.656857196
cflar,0.32836547,0.25876351,0.63276028
casp8,0.483442782,0.461183606,0.294090429
trak2,0.065241072,0.041306086,0.024386205
stradb,0.073563351,0.036769796,0.021446265
tmem237,0.065502167,0.050986569,0.004726225
g730003c15rik,0.002152314,0.002903685,0.003914157
als2,0.020688898,0.011815608,0.023145942
cdk15,0,0.0009467,0.006476179
fzd7,0,0.001149363,0.004445914
sumo1,1.131500652,1.034687605,1.0206033
nop58,0.3473485,0.322292723,0.088768087
bmpr2,0.015033882,0.015335382,0.049148936
fam117b,0.098619246,0.0680372,0.147767124
ica1l,0.001626527,0,0
wdr12,0.125681157,0.09687997,0.025888884
carf,0.015433572,0.014117658,0.011960864
nbeal1,0.052728187,0.074372319,0.123599318
cyp20a1,0.114057247,0.073190443,0.027343126
abi2,0.038606055,0.034371197,0.010411901
raph1,0.148634267,0.0914043,0.055805006
cd28,0.819711726,0.193730747,0.032829218
gm11579,0.028051077,0.00445561,0
ctla4,0.435587449,0.035195562,0.019729445
icos,0.385505666,0.129833143,0.060663724
nrp2,0.017772095,0.00883725,0.498097432
gm4208,0.00650299,0.003138674,0
ino80d,0.102582819,0.102319418,0.223285411
ino80dos,0.00266066,0.007443044,0.004628545
gm20342,0.032294802,0.037254774,0.068197933
ndufs1,0.19551887,0.151879244,0.081901376
eef1b2,2.419109456,2.204171905,1.882841099
adam23,0,0.000368798,0.14265884
fastkd2,0.048678276,0.033326312,0.00751418
klf7,0.112868187,0.179331283,0.144973598
creb1,0.151981908,0.186071116,0.253207079
mettl21a,0.109584765,0.056995715,0.053942352
ccnyl1,0.005103959,0.002241264,0.006472924
fzd5,0.012348953,0.027341015,0.023212137
plekhm3,0.037607365,0.033400918,0.046203551
d630023f18rik,0,0,0
idh1,0.02204067,0.02902666,0.259502338
pikfyve,0.023648892,0.024126558,0.059817199
rpe,0.204383997,0.098593038,0.105308882
kansl1l,0.030938232,0.02642404,0.032440834
acadl,0.674168509,0.420209005,0.603745687
lancl1,0.123697274,0.080052633,0.099956432
ikzf2,0.406657596,0.192428934,0.041162675
bard1,0.036846923,0.007661508,0.00373736
atic,0.186431677,0.081622951,0.055390016
fn1,0.038426949,0.054117249,0.078623053
apol7d,0,0,0
x4933417e11rik,0,0,0
mreg,0.002404317,0.009901575,0.546261688
d230017m19rik,0.003446132,0.001219001,0.007253051
pecr,0.021018986,0.017296513,0.007114972
xrcc5,0.120396665,0.070519268,0.003880149
smarcal1,0.047893942,0.034881863,0.019884873
rpl37a,3.74630024,3.76761601,3.416202549
tns1,0.034813381,0.006818956,0.008524486
cxcr2,0.003285526,0.000432516,0
arpc2,2.370828582,2.322253077,2.511331976
aamp,0.498855534,0.509305959,0.615293029
pnkd,0.364532127,0.330725192,0.339465519
tmbim1,0.089614925,0.103658653,0.318870398
catip,0,0.001920821,0
slc11a1,0.016715584,0.03724199,0.031860303
ctdsp1,0.220488242,0.223981366,0.210125032
vil1,0,0,0.004174199
usp37,0.049596254,0.034436364,0.040388695
rqcd1,0.103725046,0.064354837,0.056299658
zfp142,0.048779516,0.019733516,0.024763396
bcs1l,0.056417737,0.049200785,0.020387121
rnf25,0.04213158,0.064714546,0.041097109
ttll4,0.012685572,0.011046666,0.008989083
cyp27a1,0.004987782,0.007179945,0.048292573
wnt6,0.001634507,0.001819947,0.003120231
gm29539,0,0,0
nhej1,0.030779673,0.01676317,0.016968046
cnppd1,0.345023153,0.310847004,0.379469624
fam134a,0.189131022,0.192370543,0.135699981
zfand2b,0.199449053,0.168763203,0.226285226
abcb6,0.012006517,0.001920635,0.000811542
atg9a,0.028485391,0.03260123,0.022023515
ankzf1,0.037137368,0.04239783,0.031071814
glb1l,0.007384703,0.00763389,0.006594523
stk16,0.307313661,0.262707058,0.106447416
tuba4a,0.409702443,0.319627837,0.13405195
dnajb2,0.015385364,0.066382177,0.196074819
dnpep,0.270359123,0.242100401,0.242608503
speg,0,0,0
gmppa,0.145735794,0.116317854,0.08947463
chpf,0.079397162,0.09807629,0.008284732
tmem198,0.003205264,0.012633371,0
stk11ip,0.021072667,0.017751915,0.012466281
farsb,0.27411922,0.152371048,0.061024935
mogat1,0.00466722,0.003195588,0
acsl3,0.001248074,0.009805113,0.004096419
utp14b,0.000652066,0.007666758,0.003375657
ap1s3,0.102902694,0.035017114,0.050831209
wdfy1,0.185466615,0.26429826,0.049048377
mrpl44,0.270892948,0.200679694,0.119721825
serpine2,0.382042062,0.039849103,0.017033227
fam124b,0.006364619,0.006206713,0
cul3,0.133571465,0.141341513,0.137868568
gm29125,0,0.002708503,0
dock10,0.414216697,0.338692216,0.495754423
rhbdd1,0.028903018,0.03245732,0.026265749
mff,0.52955788,0.421436515,0.412383066
agfg1,0.316748249,0.107984111,0.119285585
pid1,0.033685995,0.055323067,0.088316264
dner,0,0.00032898,0
trip12,0.231818855,0.230893139,0.316426597
fbxo36,0.023032238,0.005811683,0.001262367
c130026i21rik,0.011433646,0.02376912,0.647615736
a530032d15rik,0.005225026,0.016042352,0.340444697
a530040e14rik,0.008944153,0.030209514,0.391403416
g530012d18rik,0.004366559,0.001191144,0.002979476
sp110,0.752142289,0.87019086,1.00999266
gm16094,0.002003883,0,0.032298611
sp140,0.341716668,0.356692746,1.564172572
sp100,1.053448998,0.912275913,0.46938765
a630001g21rik,0.150542729,0.130333528,0.04540134
cab39,0.440709104,0.35681055,0.267789832
itm2c,0.678114325,0.537697065,1.317824326
gm28884,0.010984,0,0
gpr55,0.085438986,0.003089418,0.05251317
gm28100,0,0,0
x2810459m11rik,0,0.005431691,0
psmd1,0.359204819,0.215174848,0.264853441
armc9,0.019745401,0.014507147,0.001668055
gm16341,0,0.0198823,0.001378243
b3gnt7,0.001719573,0.033311092,0.002202186
ncl,1.546156301,1.374545117,0.805885225
ptma,2.733511673,2.963309812,2.151911752
pde6d,0.156199403,0.181685023,0.409090511
cops7b,0.092034107,0.081820939,0.057801698
nppc,0,0,0
dis3l2,0.057096274,0.05330027,0.048458467
eif4e2,0.872163037,0.650104601,0.875077966
efhd1,0,0,0.004560744
gigyf2,0.132509356,0.145022444,0.063986095
inpp5d,0.201599783,0.257355284,0.120328592
atg16l1,0.072396314,0.066536316,0.059368682
sag,0.017698557,0.023399321,0.001807563
dgkd,0.120564149,0.0927197,0.01693821
usp40,0.063922376,0.072251035,0.055836604
ugt1a7c,0.002955615,0.006307672,0.002618464
ugt1a6a,0,0.000718776,0
dnajb3,0.001103733,0.003564873,0.008892174
hjurp,0.071935383,0.095048143,0.05619124
glrp1,0,0,0
gm29336,0.004477859,0.011077172,0.005951587
arl4c,0.343676628,0.513463494,0.906153853
sh3bp4,0.004960763,0.004777196,0.244348841
agap1,0,0.004126617,0.073669409
cops8,0.371432338,0.324021432,0.239252088
lrrfip1,0.883821871,0.79492737,0.703557142
rbm44,0.004582148,0.000869498,0
ramp1,0.151407611,0.167046929,0.064644457
ube2f,0.293901253,0.268009439,0.577817732
scly,0.143580241,0.114915284,0.064739803
klhl30,0,0.030071903,0
ilkap,0.388217728,0.341288113,0.341509288
hes6,0.317705833,0.336188006,0.188031202
per2,0.003929733,0.001950493,0
traf3ip1,0.027934707,0.017646574,0.006499948
asb1,0.030272008,0.026181424,0.01246916
hdac4,0.111383386,0.071678503,0.02901782
gm26720,0,0.004487622,0
ndufa10,0.713995603,0.493647284,0.387873119
myeov2,1.115956611,0.838000676,1.005999047
otos,0.010301338,0.008247071,0.001327619
gpc1,0.02102335,0.099561625,0.133910259
dusp28,0.037349034,0.055937376,0.031255348
x5033417f24rik,0.00328094,0,0
rnpepl1,0.184546045,0.168200028,0.219142625
x9430060i03rik,0.020408369,0.014026691,0.008561657
capn10,0.047901097,0.022222352,0.018412288
gpr35,0.008199145,0.017993014,0.161779021
kif1a,0,0.002773733,0.014522722
sned1,0,0.000196256,0.017809004
mterf4,0.095219006,0.074056205,0.067087232
pask,0.006736555,0.001522006,0.001756954
ppp1r7,0.201652012,0.18713236,0.136325738
hdlbp,0.225687024,0.20798715,0.195081506
2-Sep,0.261621558,0.18194297,0.412700947
farp2,0.000899069,0.001118591,0
stk25,0.110100663,0.122281591,0.120572816
thap4,0.112620648,0.069324405,0.113317325
atg4b,0.172680662,0.156083506,0.154758698
dtymk,0.402073219,0.233741442,0.149830158
ing5,0.065868935,0.045890118,0.056398365
d2hgdh,0.044427765,0.025002707,0.028705675
pdcd1,1.448713786,0.037995916,0.257788998
fam174a,0.276353942,0.272043911,0.539740175
st8sia4,0.171950237,0.242909561,0.767202153
d1ertd622e,0.074066839,0.148143327,0.116401758
ppip5k2,0.073403484,0.041468427,0.036481562
gin1,0.1406382,0.096126028,0.038025279
pam,0.012688087,0.04048595,0.025466548
x1810006j02rik,0.010988135,0.030731018,0.002508818
gm7967,0.007434426,0.008404072,0.013079241
gm28187,0.003067478,0.001134312,0
rnf152,0.003303139,0,0.040156099
pign,0.034572325,0.030578986,0.02502855
x2310035c23rik,0.127199969,0.115545548,0.12820626
tnfrsf11a,0.00336729,0.005712483,0.429015218
gm7160,0.026998663,0.020374476,0.007121514
zcchc2,0.040791667,0.036814467,0.025385532
phlpp1,0.073604668,0.023525103,0.290003575
bcl2,0.283936447,1.104905138,0.038276505
kdsr,0.069226102,0.051423272,0.021416675
vps4b,0.318112426,0.279059139,0.347963231
serpinb12,0,0,0
serpinb2,0,0,0.002455207
serpinb10,0.00703203,0.002750052,0.006784026
serpinb8,0,0.004832595,0.00680048
dsel,0.008067752,0.003549097,0.003427823
tsn,0.665725809,0.582005523,0.423559945
nifk,0.222661791,0.233941658,0.047332425
clasp1,0.124177351,0.107864364,0.178417022
x2900060b14rik,0.020715956,0.047871445,0.051521146
ralb,0.052991142,0.054946144,0.271342834
gm27184,0.007852338,0.001692412,0.001039449
tmem185b,0.106785324,0.085983287,0.053659985
epb41l5,0.007910349,0.001773868,0.001660542
ptpn4,0.066550123,0.093011445,0.023516119
tmem177,0.045359548,0.049782062,0.015082294
tmem37,0.045654978,0.304103611,0.027769338
dbi,1.077588122,0.866812158,0.686575751
x3110009e18rik,0.078608459,0.065824647,0.0114687
steap3,0.001339591,0.019824865,0.00692934
insig2,0.142209081,0.120593257,0.058476559
ccdc93,0.039853284,0.036431075,0.085600736
ddx18,0.312236367,0.287943042,0.315745871
actr3,1.881820071,1.533580928,1.653895769
slc35f5,0.007544443,0.019874578,0.024602644
mgat5,0.024994559,0.106926579,0.004939461
tmem163,0.191648833,0.108194303,0.005314416
ccnt2,0.168517983,0.148380144,0.267141586
rab3gap1,0.11736694,0.081281258,0.053538935
zranb3,0.00776312,0.001682672,0
r3hdm1,0.225379724,0.207243058,0.189045247
ubxn4,0.524684317,0.547820565,0.552142939
mcm6,0.547875061,0.231932356,0.085221365
dars,0.343130911,0.240278157,0.082433921
cxcr4,0.020551373,0.057238956,0.026656755
gm15675,0.003785983,0.008726211,0.001388832
cd55,0.091633737,0.197001477,0.013557169
pfkfb2,0.002093794,0.002188738,0.00037207
yod1,0.052501249,0.032790303,0.016706422
aa986860,0,0.001023367,0
fcmr,0,0.002301914,0.01138911
il10,0.02417656,0.000308241,0.005559568
mapkapk2,0.258258192,0.218640074,0.377799979
dyrk3,0.015982644,0.004334559,0.004096445
eif2d,0.185810518,0.133895593,0.085307299
rassf5,0.408129959,0.246623136,0.1238456
ikbke,0.096364217,0.050619235,0.02559662
srgap2,0.08521943,0.06586167,0.081088082
fam72a,0.009263402,0.013638493,0.00409497
ctse,0.015121491,0.037769471,0.000870956
rab7b,0.016397701,0.03079331,0.022528781
slc41a1,0.04081305,0.019779655,0.047814157
rab29,0.128194193,0.064856097,0.114290736
nucks1,0.403538719,0.370189642,0.27849225
elk4,0.088104379,0.143346239,0.090880002
mfsd4,0.024457822,0.032787664,0.009677521
cdk18,0.003705852,0.003397673,0
nuak2,0.009687326,0.033359056,0.524249302
tmcc2,0.001566837,0.000871922,0.037149445
dstyk,0.004550462,0.021066847,0.069217125
rbbp5,0.066383105,0.06240342,0.052191472
tmem81,0.008216738,0.007233385,0
mdm4,0.168913898,0.1591346,0.155260261
ppp1r15b,0.140553724,0.106988177,0.154650035
etnk2,0,0.002955478,0.074878767
sox13,0,0.00059291,0
snrpe,1.710018015,1.426881609,1.339486875
zc3h11a,0.024650382,0.017520107,0.021355789
gm38394,0.002177747,0.00132668,0.001466096
lax1,0.240532991,0.257441042,0.001977319
atp2b4,0.215414682,0.14381094,0.081382226
btg2,0.520217102,0.989004665,0.450082247
ppfia4,0.018496572,0.013528241,0.043327362
tmem183a,0.162182956,0.136452305,0.179622479
cyb5r1,0.021340163,0.035616371,0.013481678
adipor1,0.591644464,0.528971439,0.524132
klhl12,0.054881297,0.038889874,0.006553927
rabif,0.192471807,0.173358317,0.064925529
kdm5b,0.112824546,0.134406836,0.054457586
ppp1r12b,0.006818573,0.020173222,0.003987652
ube2t,0.062339053,0.034872281,0.008268929
ptpn7,0.521853122,0.431597214,0.045042542
arl8a,0.11863876,0.120068859,0.275339374
gm15445,0.001286891,0.001056996,0.007561325
rnpep,0.327263108,0.236229256,0.138549152
timm17a,0.550686889,0.399953145,0.271909024
ipo9,0.050830717,0.035867168,0.005963372
nav1,0.005209132,0.008094703,0.384215212
gm38399,0,0.000151976,0.081413023
csrp1,0.330512719,0.293341988,1.420562002
phlda3,0.024829395,0.010857574,0.037149351
tnni1,0.001944044,0.017809259,0.00211317
lad1,0.041359966,0.005663476,0.153776797
tmem9,0.089774417,0.095301717,0.007446701
cacna1s,0.041041642,0.005606882,0.658080732
kif21b,0.14709191,0.139432172,0.281012604
camsap2,0.003414485,0.015338566,0.012161896
ddx59,0.027583125,0.024166198,0.018717097
kif14,0,0.001116323,0.001912234
gm33994,0.00247827,0.000143547,0.00091194
zfp281,0.067036237,0.077811242,0.060002434
gm19705,0.027595108,0.021074867,0.002270749
a430106g13rik,0,0.001828219,0.003757664
ptprc,1.617469863,1.890376689,0.648610661
atp6v1g3,0,0.023696935,0
nek7,0.195444284,0.162391797,0.172001224
x2310009b15rik,0.117531535,0.094244833,0.094631122
dennd1b,0.163953625,0.149337026,0.04765866
zbtb41,0.021949255,0.014561625,0.006201502
aspm,0.01126122,0.003661077,0.001968075
cfh,0.005072158,0.004614253,0.01040947
cdc73,0.1042512,0.077264591,0.063433861
glrx2,0.411659322,0.320982811,0.226884271
trove2,0.019100997,0.017961121,0.024996822
uchl5,0.309868401,0.263851197,0.132406253
rgs2,0.472761557,0.712214129,0.259958434
rgs1,0.755607764,0.806933791,1.29177322
rgs18,0.006488733,0.051639722,0.017715803
pla2g4a,0.006227008,0.011731341,0.018245198
ptgs2,0,0.007538438,0.013400165
ptgs2os2,0.000655351,0,0.002261592
bc003331,0.106314808,0.114624235,0.092684818
tpr,0.97763341,0.859201378,0.734614522
prg4,0.00187022,0,0
gm10138,0.034577387,0.045550071,0.027468675
ivns1abp,0.15307701,0.149668708,0.143764854
swt1,0.197905144,0.206240789,0.15148505
trmt1l,0.221653372,0.206645316,0.201033205
rnf2,0.101738313,0.11986913,0.055483981
fam129a,0.224792868,0.132617373,0.643325202
x2810414n06rik,0.004216369,0.000840744,0
edem3,0.030129104,0.019740157,0.006219357
x1700025g04rik,0.043694953,0.529587951,0.164655335
tsen15,0.073627126,0.077270045,0.030618143
rgl1,0.001484532,0.059379413,0.023842264
arpc5,1.855402806,1.463725159,2.117909678
ncf2,0.035597118,0.081256863,0.411680662
smg7,0.061672684,0.06761029,0.059275555
lamc1,0.078825108,0.003383942,0.001393119
shcbp1l,0,0,0.00357084
dhx9,0.215320884,0.202389596,0.111797917
npl,0.011584994,0.002278145,0.001699092
rgs16,0.718312371,0.057362051,0.025493593
rnasel,0.145518526,0.086692318,0.009558643
teddm2,0.002225791,0.005216637,0
glul,0.14299153,0.180657682,0.147638292
gm9530,0.001828641,0.002308469,0.102659496
ier5,0.462630607,1.058750952,1.612359502
mr1,0.031638185,0.03683637,0.004311012
stx6,0.241996016,0.193047375,0.297612245
xpr1,0.095494813,0.105403677,0.066212592
acbd6,0.547484669,0.369853491,0.296475477
qsox1,0.12467833,0.07913733,0.033254091
cep350,0.079724669,0.073900625,0.213728837
tor1aip1,0.442135049,0.288946859,0.378295655
tor1aip2,0.185108967,0.10844112,0.473465773
axdnd1,0.001147288,0,0
gm2000,0.67236938,0.466853761,0.492166685
soat1,0.109064755,0.063525635,0.076518193
gm10031,0.014743573,0.005259459,0.004684508
abl2,0.01733166,0.026431267,0.026795984
tor3a,0.137802761,0.156816041,0.137650012
fam20b,0.030597543,0.053457363,0.057529175
ralgps2,0.030898803,0.003169388,0.010611192
rasal2,0.007505072,0.005788498,0.024990345
bc026585,0.018276763,0.029004134,0.035333883
rfwd2,0.063786192,0.077431822,0.19549645
tnr,0,0,0.044752991
x4930523c07rik,0.494463357,0.580056805,1.028285975
mrps14,0.892429344,0.838102857,0.487150809
cacybp,0.607453689,0.534089287,0.516561588
rabgap1l,0.388828713,0.345843134,0.694899855
rc3h1,0.073144567,0.067392539,0.061626936
serpinc1,0.003866044,0.00296561,0
zbtb37,0.035316494,0.027301241,0.043803177
dars2,0.017459887,0.01809978,0.014626528
cenpl,0.037758787,0.055829988,0.06734909
klhl20,0.063687699,0.060514535,0.050586077
prdx6,0.916023295,0.894918153,0.325800655
tnfsf4,0.01844211,0.012759573,0.162684943
fasl,0.343443079,0.529071326,0.022310822
suco,0.088717525,0.131398018,0.096792507
pigc,0.108699072,0.145182364,0.093422209
dnm3,0.005713488,0.00308179,0.001388832
mettl13,0.036166042,0.01927071,0.00467033
vamp4,0.280050895,0.192115319,0.244517473
prrc2c,0.755615529,0.68050004,0.410016055
gorab,0.015926897,0.021133468,0.033107762
kifap3,0.019356369,0.025961723,0.052674283
scyl3,0.059127564,0.049487371,0.044689236
bc055324,0.019134904,0.00354678,0.002595137
mettl18,0.030480159,0.038315871,0.003535244
sell,0.102209541,1.072993521,0.045327364
selp,0.003236595,0.005310853,0
f5,0,0.00197223,0.00466527
slc19a2,0.02257642,0.006719417,0.005695046
ccdc181,0.029167643,0.059486675,0.032733343
blzf1,0.039719783,0.040330865,0.01980147
nme7,0.065281304,0.05596018,0.023722501
atp1b1,0.059469477,0.641993043,0.024739987
xcl1,0.45037759,1.482690735,0.068596079
sft2d2,0.105162129,0.186896626,0.214866404
tiprl,0.429239939,0.354481786,0.203380782
dcaf6,0.013413245,0.028687117,0.012420596
mpc2,0.590183527,0.508996122,0.350670901
mpzl1,0,0,0.008864489
rcsd1,0.254296125,0.426994883,0.451966551
creg1,0.128892464,0.19357095,0.259845321
cd247,0.957440821,0.483432308,0.099474061
gm37469,0,0.013122508,0.00443592
pou2f1,0.031637142,0.066528121,0.068701402
gm15853,0.006490972,0.005261703,0.002855587
tada1,0.163095407,0.188421273,0.185296995
pogk,0.027951712,0.075891031,0.057822689
gm16701.1,0,0.000975617,0
fam78b,0.020592531,0.015615675,0.004954034
uck2,0.161226994,0.098055422,0.129847246
tmco1,0.426912582,0.443615675,0.232020385
aldh9a1,0.147451229,0.108146577,0.182255219
mgst3,0.07462182,0.075416564,0.047112463
pbx1,0.003032347,0.034192968,0.092128898
nuf2,0.014047784,0.008479263,0.003845678
hsd17b7,0.037241431,0.019917155,0.054436654
x3110045c21rik,0.009035252,0.003075533,0.006712042
uap1,0.232039745,0.128681281,1.169839766
uhmk1,0.131641631,0.099669321,0.183626591
x4930500m09rik,0,0.000303409,0.001922782
sh2d1b2,0.001745147,0.015187892,0
sh2d1b1,0.00666626,0.281065551,0.083445268
gm7694,0,0.003116406,0.016075814
nos1ap,0,0.006524611,0.03745304
atf6,0.096161501,0.088309762,0.051720653
dusp12,0.103206285,0.054487378,0.033675943
gm26620,0.004194127,0.00167624,0
fcrlb,0,0.000454081,0
fcrla,0.015030852,0.005497433,0.00621222
fcgr2b,0.047987692,0.112374205,0.151965824
gm10522,0.001178072,0.018794278,0.002189586
fcgr4,0.031154996,0.052046191,0.063177632
fcgr3,0.080757575,0.534714156,0.178464848
cfap126,0.016108629,0.025864968,0.024198594
sdhc,0.471028434,0.395665792,0.256172032
pcp4l1,0,0,0.001974753
tomm40l,0.154634833,0.07341369,0.060925862
apoa2,0.019352174,0.004983387,0.001634437
fcer1g,0.518520017,3.242997875,1.514907728
