gene,cluster_1,cluster_2,cluster_3
dnajc28,0.010095452,0.002463984,0.00415274
gart,0.182624788,0.116619007,0.038386538
son,1.001301672,0.98383019,0.972236098
donson,0.134693009,0.101263383,0.1111514
atp5o,1.299393709,1.160252418,0.879348906
cryzl1,0.161019299,0.200153188,0.079747946
itsn1,0.016744923,0.020879342,0.030632011
mrps6,0.322044077,0.13111024,0.296879814
slc5a3,0.017487688,0.007505114,0.013039716
smim11,0.446491127,0.480044976,0.164163554
rcan1,0.029156878,0.020859529,0.00793887
runx1,0.156765684,0.211196995,0.111168594
setd4,0.046367626,0.036274941,0.006082147
cbr1,0.146592559,0.119228666,0.025383038
cbr3,0.000709098,0.001384446,0.007214252
dopey2,0.083019946,0.051339051,0.070982812
morc3,0.184905475,0.160912052,0.118449501
chaf1b,0.140495991,0.045892674,0.016292647
hlcs,0.045033751,0.021708498,0.013120701
ripply3,0.009324716,0.00104545,0
pigp,0.356926248,0.302634344,0.203554273
ttc3,0.186108571,0.111830797,0.130971181
dscr3,0.184778477,0.170822271,0.167133246
dyrk1a,0.09344301,0.091317239,0.113869107
ets2,0.036718802,0.022919407,0.076009379
psmg1,0.132662029,0.140573937,0.027816868
brwd1,0.0628635,0.073324264,0.067665239
hmgn1,0.236344708,0.323415993,0.281429698
wrb,0.009190838,0.016419481,0.00920127
sh3bgr,0.002763752,0,0.001138863
igsf5,0.010291472,0.047783307,0
dscam,0.020394659,0.058221613,0.017006411
bace2,0.048800178,0.009124677,0.002994232
mx1,0.069963078,0.052514419,0.249677886
fam3b,0,0,0.011060316
gm9242,0,0.002307473,0.001562956
prdm15,0.016018278,0.021243583,0.017524247
c2cd2,0.017693886,0.010336905,0.014886464
zbtb21,0.025064635,0.019358746,0.01830448
b230307c23rik,0.056817883,0.084852274,0.030739357
scaf8,0.072853141,0.066119734,0.058232077
tiam2,0,0.01585594,0.001448888
tfb1m,0.034147325,0.023296944,0.005287766
arid1b,0.092973334,0.077625867,0.123439068
tmem242,0.211142127,0.153847036,0.145147283
zdhhc14,0.000727513,0.002548556,0.038782238
x3300005d01rik,0.042012327,0.003789374,0.00107171
snx9,0.173359329,0.050615568,0.065100894
synj2,0.026551075,0.015920731,0.012350871
serac1,0.005367546,0,0
gtf2h5,0.68289663,0.581537612,0.371528693
tulp4,0.078948605,0.126588789,0.071572873
tmem181a,0.090513963,0.059817149,0.049246613
dynlt1a,0.094145175,0.035166564,0.023301976
dynlt1b,0.004497333,0.003315238,0.006717973
dynlt1c,0.07832836,0.05805499,0.023099859
dynlt1f,0.364256907,0.195737044,0.112241546
sytl3,0.179389081,0.259925817,0.00759686
ezr,0.850845149,0.798181907,0.414761732
rsph3b,0.001729923,0.007610357,0.00407894
tagap1,0.030675829,0.011453052,0.009149816
rnaset2b,0.624342274,0.620832626,0.436577286
rps6ka2,0.001666306,0.000236511,0.000787316
e430024p14rik,0.013763097,0.016647003,0.002596336
tagap,0.17096647,0.105022953,0.028507752
rsph3a,0.026592603,0.016496789,0.018377707
rnaset2a,0.526027688,0.522145473,1.151817204
fgfr1op,0.055272358,0.036531937,0.062489747
ccr6,0.020695496,0,0.051485508
mpc1,0.720241543,0.64902922,1.152349364
sft2d1,0.380043841,0.424442506,0.218890462
gm16702,0.032384035,0.004934254,0
gm17087,0.008654123,0.005702811,0.020147375
x1700010i14rik,0.028751583,0.013929553,0.001710684
qk,0.083583104,0.115711542,0.237423796
park2,0,0,0
agpat4,0.46576369,0.148266249,0.175536154
map3k4,0.049755216,0.050594357,0.017074852
x4732491k20rik,0.004114896,0.002181962,0
igf2r,0.152366396,0.083413289,0.013676018
airn,0.028807602,0.0209683,0.002800433
